gss_cd,gss_nm,total_cases_2020_03_17,total_cases_2020_03_18,total_cases_2020_03_19,total_cases_2020_03_20,total_cases_2020_03_21
E09000002,Barking and Dagenham,9,14,18,21,30
E09000003,Barnet,24,27,28,76,81
E08000016,Barnsley,2,6,7,7,7
E06000022,Bath and North East Somerset,3,3,4,5,11
E06000055,Bedford,1,1,1,1,4
E09000004,Bexley,14,17,22,31,37
E08000025,Birmingham,20,25,34,54,75
E06000008,Blackburn with Darwen,1,1,1,1,1
E06000009,Blackpool,3,4,3,5,5
E08000001,Bolton,5,7,9,13,15
E06000058,"Bournemouth, Christchurch and Poole",6,7,9,10,11
E06000036,Bracknell Forest,3,3,3,3,3
E08000032,Bradford,7,8,7,9,10
E09000005,Brent,24,45,66,75,108
E06000043,Brighton and Hove,9,11,12,14,17
E06000023,"Bristol, City of",8,12,12,13,20
E09000006,Bromley,23,32,40,52,63
E10000002,Buckinghamshire,23,27,39,39,41
E08000002,Bury,7,7,8,10,11
E08000033,Calderdale,3,3,3,5,5
E10000003,Cambridgeshire,12,14,15,16,17
E09000007,Camden,20,30,36,46,51
E06000056,Central Bedfordshire,6,6,7,8,11
E06000049,Cheshire East,7,8,9,9,11
E06000050,Cheshire West and Chester,5,5,7,10,10
E09000001,City of London,22,29,32,45,52
E06000052,Cornwall,10,10,10,16,20
E06000047,County Durham,1,3,5,7,11
E08000026,Coventry,3,4,4,7,9
E09000008,Croydon,6,32,49,68,81
E10000006,Cumbria,22,34,38,52,57
E06000005,Darlington,1,2,2,2,3
E06000015,Derby,0,11,9,12,18
E10000007,Derbyshire,5,27,40,50,64
E10000008,Devon,24,25,26,30,42
E08000017,Doncaster,0,3,2,3,5
E06000059,Dorset,2,5,7,7,8
E08000027,Dudley,9,10,11,18,19
E09000009,Ealing,21,42,53,54,80
E06000011,East Riding of Yorkshire,9,10,10,15,15
E10000011,East Sussex,7,8,8,8,8
E09000010,Enfield,10,27,30,48,54
E10000012,Essex,21,27,31,43,45
E08000037,Gateshead,0,1,1,1,2
E10000013,Gloucestershire,11,12,15,22,27
E09000011,Greenwich,19,19,33,41,54
E09000012,Hackney,22,29,32,45,52
E06000006,Halton,3,4,4,5,7
E09000013,Hammersmith and Fulham,23,25,28,36,45
E10000014,Hampshire,69,77,87,107,138
E09000014,Haringey,17,29,32,44,51
E09000015,Harrow,15,40,56,60,89
E06000001,Hartlepool,0,1,2,2,2
E09000016,Havering,7,7,14,19,30
E06000019,"Herefordshire, County of",1,3,3,3,7
E10000015,Hertfordshire,36,50,52,61,75
E09000017,Hillingdon,16,21,29,34,50
E09000018,Hounslow,15,24,29,38,52
E06000046,Isle of Wight,2,2,2,2,2
E09000019,Islington,11,29,35,45,48
E09000020,Kensington and Chelsea,49,55,57,66,75
E10000016,Kent,18,21,25,32,45
E06000010,"Kingston upon Hull, City of",1,1,1,1,1
E09000021,Kingston upon Thames,1,7,14,17,22
E08000034,Kirklees,2,2,3,6,8
E08000011,Knowsley,1,1,3,3,4
E09000022,Lambeth,43,61,81,103,118
E10000017,Lancashire,15,15,24,26,30
E08000035,Leeds,11,12,15,17,20
E06000016,Leicester,0,3,5,11,14
E10000018,Leicestershire,7,14,17,20,29
E09000023,Lewisham,18,22,39,47,60
E10000019,Lincolnshire,4,7,7,9,9
E08000012,Liverpool,11,12,13,14,18
E06000032,Luton,3,3,3,4,5
E08000003,Manchester,14,18,21,26,28
E06000035,Medway,4,4,8,11,11
E09000024,Merton,13,34,39,45,56
E06000002,Middlesbrough,0,0,0,1,1
E06000042,Milton Keynes,3,4,5,7,7
E08000021,Newcastle upon Tyne,5,13,19,21,28
E09000025,Newham,17,23,32,42,51
E10000020,Norfolk,3,4,11,17,24
E06000012,North East Lincolnshire,0,0,0,0,0
E06000013,North Lincolnshire,1,1,1,1,2
E06000024,North Somerset,3,4,4,4,5
E08000022,North Tyneside,3,7,10,12,17
E10000023,North Yorkshire,8,11,13,14,16
E10000021,Northamptonshire,12,15,16,17,20
E06000057,Northumberland,0,4,6,7,10
E06000018,Nottingham,12,14,14,22,22
E10000024,Nottinghamshire,13,28,29,41,45
E08000004,Oldham,10,12,14,14,15
E10000025,Oxfordshire,25,34,34,40,44
E06000031,Peterborough,0,2,2,2,2
E06000026,Plymouth,2,5,7,7,11
E06000044,Portsmouth,3,4,5,13,22
E06000038,Reading,3,5,7,7,7
E09000026,Redbridge,4,7,18,27,42
E06000003,Redcar and Cleveland,1,1,1,2,3
E09000027,Richmond upon Thames,3,7,12,16,22
E08000005,Rochdale,4,6,9,12,13
E08000018,Rotherham,1,4,3,4,6
E06000017,Rutland,0,0,0,0,0
E08000006,Salford,4,4,9,10,12
E08000028,Sandwell,6,6,7,11,15
E08000014,Sefton,3,4,6,7,7
E08000019,Sheffield,1,36,40,48,61
E06000051,Shropshire,2,3,3,3,3
E06000039,Slough,12,13,17,20,21
E08000029,Solihull,1,1,1,3,4
E10000027,Somerset,5,7,10,10,12
E06000025,South Gloucestershire,6,9,12,13,14
E08000023,South Tyneside,0,2,2,2,5
E06000045,Southampton,3,4,7,7,8
E06000033,Southend-on-Sea,4,5,4,5,8
E09000028,Southwark,58,70,82,110,134
E08000013,St. Helens,2,2,2,2,3
E10000028,Staffordshire,10,14,18,25,35
E08000007,Stockport,10,10,13,21,24
E06000004,Stockton-on-Tees,3,6,9,9,10
E06000021,Stoke-on-Trent,0,1,2,2,2
E10000029,Suffolk,3,10,13,13,15
E08000024,Sunderland,1,3,4,5,11
E10000030,Surrey,30,39,45,57,65
E09000029,Sutton,10,12,14,19,23
E06000030,Swindon,2,3,4,5,5
E08000008,Tameside,10,12,14,19,21
E06000020,Telford and Wrekin,0,0,0,0,0
E06000034,Thurrock,1,2,3,6,8
E06000027,Torbay,6,6,8,10,10
E09000030,Tower Hamlets,23,25,33,43,51
E08000009,Trafford,12,14,13,15,19
E08000036,Wakefield,4,5,6,6,8
E08000030,Walsall,13,14,16,20,28
E09000031,Waltham Forest,7,14,17,23,38
E09000032,Wandsworth,21,59,75,98,107
E06000007,Warrington,3,4,4,4,4
E10000031,Warwickshire,4,10,11,13,17
E06000037,West Berkshire,3,3,3,6,7
E10000032,West Sussex,10,10,16,19,27
E09000033,Westminster,58,68,78,99,110
E08000010,Wigan,4,4,4,6,9
E06000054,Wiltshire,7,9,12,17,20
E06000040,Windsor and Maidenhead,9,10,13,13,13
E08000015,Wirral,6,8,8,9,10
E06000041,Wokingham,8,10,9,12,13
E08000031,Wolverhampton,18,22,28,39,45
E10000034,Worcestershire,1,5,8,10,12
E06000014,York,3,4,5,6,8
